FacilityName,FacilityNPI,Organisationid,SNo,ServiceCode,DiagnosisTestorServiceName,OrganisationPrices,FacilityPrices
Nandhanan,12345,ORG-321,1,S-1,2D Echo,1120,5220
Nandhanan,12345,ORG-321,2,S-2,4D Scan,23,
Nandhanan,12345,ORG-321,3,S-3,ACTH (Adreno Corticotropic Hormone) Test,1025,
Nandhanan,12345,ORG-321,4,S-4,Adenosine Deaminase Test,271,
Nandhanan,12345,ORG-321,5,S-5,AEC (Absolute Eosinophil Count) Test,2608,5400
Nandhanan,12345,ORG-321,6,S-6,AFB (Acid Fast Bacilli) Culture Test,873,1000
Nandhanan,12345,ORG-321,7,S-7,AFP (Alpha Feto Protein) Test,1996,2000
Nandhanan,12345,ORG-321,8,S-8,Alberts Stain,185,
Nandhanan,12345,ORG-321,9,S-9,Albumin Test,3386,4000
Nandhanan,12345,ORG-321,10,S-10,Aldolase Test,249,
